ent,mun,loc,upm,est_nal,est_est,t_loc,con,vivienda,hab
31,1,1,1,12,873,4,6025,1,5
5,1,1,1,20,375,4,6025,2,2
27,1,1,1,20,763,3,5032,3,6
27,1,1,1,20,763,3,5032,4,1
10,23,1,1,20,445,2,5001,5,3
10,23,1,1,20,445,2,5001,6,4
23,4,1,1,31,665,1,5035,7,4
5,1,1,1,20,375,4,6025,8,6
27,1,1,1,20,763,3,5032,9,5
4,2,1,1,33,216,1,65,10,3
5,1,1,1,20,375,4,6025,11,7
8,2,1,1,20,424,2,5003,12,4
5,1,1,1,20,375,4,6025,13,4
5,1,1,1,20,375,4,6025,14,3
32,5,1,1,30,879,2,5023,15,5
7,19,1,1,10,397,2,5069,16,1
5,1,1,1,20,375,4,6025,17,4
32,5,1,1,30,879,2,5023,18,5
10,23,1,1,20,445,2,5001,19,6
8,2,1,1,20,424,2,5003,20,7
10,23,1,1,20,445,2,5001,21,5
7,19,1,1,10,397,2,5069,22,2
8,2,1,1,20,424,2,5003,23,3
7,19,1,1,10,397,2,5069,24,7
23,1,1,1,30,669,2,5083,25,2
7,19,1,1,10,397,2,5069,26,1
24,20,1,1,20,689,2,5010,27,1
21,1,1,1,10,636,2,5013,28,7
8,2,1,1,20,424,2,5003,29,6
18,3,1,1,20,596,3,5031,30,4
24,20,1,1,20,689,2,5010,31,5
24,20,1,1,20,689,2,5010,32,4
16,53,1,1,21,126,1,270,33,3
22,1,1,1,20,653,3,5026,34,6
7,19,1,1,10,397,2,5069,35,5
5,1,1,1,20,375,4,6025,36,5
22,5,2,1,20,657,3,5010,37,4
19,9,1,1,30,601,2,5001,38,7
27,1,1,1,20,763,3,5032,39,2
2,4,1,1,43,178,1,410,40,1
10,23,1,1,20,445,2,5001,41,3
4,2,77,1,20,346,3,5003,42,4
18,3,1,1,20,596,3,5031,43,7
22,1,1,1,20,653,3,5026,44,7
18,17,1,1,22,204,1,381,45,6
27,1,1,1,20,763,3,5032,46,4
4,2,1,1,33,216,1,65,47,2
10,23,1,1,20,445,2,5001,48,3
1,1,139,1,22,296,4,6032,49,5
28,21,1,1,10,791,2,5001,50,1
27,1,1,1,20,763,3,5032,51,5
4,2,77,1,20,346,3,5003,52,5
3,2,15,1,30,332,4,6025,53,6
1,1,139,1,22,296,4,6032,54,6
4,2,77,1,20,346,3,5003,55,1
4,2,77,1,20,346,3,5003,56,1
31,1,1,1,12,873,4,6025,57,3
23,4,1,1,31,665,1,5035,58,7
1,1,139,1,22,296,4,6032,59,6
30,108,62,1,20,838,3,5323,60,5
22,1,1,1,20,653,3,5026,61,2
4,4,91,1,13,349,4,6025,62,6
24,20,1,1,20,689,2,5010,63,4
22,1,1,1,20,653,3,5026,64,5
10,7,1,1,22,439,1,5222,65,6
15,67,50,1,10,133,3,394,66,3
3,2,15,1,30,332,4,6025,67,6
22,1,1,1,20,653,3,5026,68,1
24,20,1,1,20,689,2,5010,69,5
12,35,1,1,10,487,1,5014,70,1
8,2,1,1,20,424,2,5003,71,3
8,2,1,1,20,424,2,5003,72,7
8,2,1,1,20,424,2,5003,73,5
8,2,1,1,20,424,2,5003,74,7
8,2,1,1,20,424,2,5003,75,4
24,20,1,1,20,689,2,5010,76,1
32,5,1,1,30,879,2,5023,77,5
4,2,77,1,20,346,3,5003,78,5
22,5,2,1,20,657,3,5010,79,1
21,1,1,1,10,636,2,5013,80,1
12,35,1,1,10,487,1,5014,81,4
12,35,1,1,10,487,1,5014,82,3
32,5,1,1,30,879,2,5023,83,5
8,2,1,1,20,424,2,5003,84,4
22,5,2,1,20,657,3,5010,85,5
22,5,2,1,20,657,3,5010,86,4
32,5,1,1,30,879,2,5023,87,2
4,4,91,1,13,349,4,6025,88,5
19,9,1,1,30,601,2,5001,89,2
18,3,1,1,20,596,3,5031,90,7
4,4,91,1,13,349,4,6025,91,3
18,3,1,1,20,596,3,5031,92,2
1,1,139,1,22,296,4,6032,93,4
3,2,15,1,30,332,4,6025,94,7
31,1,1,1,12,873,4,6025,95,6
24,20,1,1,20,689,2,5010,96,2
3,2,15,1,30,332,4,6025,97,3
4,4,91,1,13,349,4,6025,98,2
10,23,1,1,20,445,2,5001,99,4
18,3,1,1,20,596,3,5031,100,6
3,3,1,1,33,272,1,165,101,1
4,4,91,1,13,349,4,6025,102,2
27,1,1,1,20,763,3,5032,103,3
4,4,91,1,13,349,4,6025,104,2
12,4,1,1,14,503,4,6040,105,3
4,4,91,1,13,349,4,6025,106,1
3,3,1,1,33,272,1,165,107,4
18,3,1,1,20,596,3,5031,108,1
28,21,1,1,10,791,2,5001,109,2
28,21,1,1,10,791,2,5001,110,6
10,23,1,1,20,445,2,5001,111,7
4,2,77,1,20,346,3,5003,112,4
7,19,1,1,10,397,2,5069,113,2
10,23,1,1,20,445,2,5001,114,3
8,2,1,1,20,424,2,5003,115,4
32,5,1,1,30,879,2,5023,116,2
1,1,139,1,22,296,4,6032,117,3
7,19,1,1,10,397,2,5069,118,4
28,21,1,1,10,791,2,5001,119,2
4,2,77,1,20,346,3,5003,120,7
5,1,1,1,20,375,4,6025,121,3
4,2,1,1,33,216,1,65,122,1
16,53,1,1,21,126,1,270,123,5
4,4,91,1,13,349,4,6025,124,3
4,4,91,1,13,349,4,6025,125,7
28,21,1,1,10,791,2,5001,126,2
10,23,1,1,20,445,2,5001,127,4
12,4,1,1,14,503,4,6040,128,6
1,1,139,1,22,296,4,6032,129,7
4,2,1,1,33,216,1,65,130,4
23,1,1,1,30,669,2,5083,131,7
7,19,1,1,10,397,2,5069,132,5
5,1,1,1,20,375,4,6025,133,7
19,9,1,1,30,601,2,5001,134,1
1,1,139,1,22,296,4,6032,135,7
32,5,1,1,30,879,2,5023,136,1
12,4,1,1,14,503,4,6040,137,5
12,4,1,1,14,503,4,6040,138,1
18,3,1,1,20,596,3,5031,139,7
22,5,2,1,20,657,3,5010,140,7
31,1,1,1,12,873,4,6025,141,2
12,4,1,1,14,503,4,6040,142,5
31,1,1,1,12,873,4,6025,143,5
12,4,1,1,14,503,4,6040,144,2
27,1,1,1,20,763,3,5032,145,7
12,4,1,1,14,503,4,6040,146,1
12,4,1,1,14,503,4,6040,147,6
4,2,77,1,20,346,3,5003,148,5
24,20,1,1,20,689,2,5010,149,6
4,4,91,1,13,349,4,6025,150,6
8,2,1,1,20,424,2,5003,151,2
4,2,77,1,20,346,3,5003,152,1
2,4,1,1,43,178,1,410,153,4
22,5,2,1,20,657,3,5010,154,1
3,2,15,1,30,332,4,6025,155,1
31,1,1,1,12,873,4,6025,156,1
19,9,1,1,30,601,2,5001,157,5
4,2,77,1,20,346,3,5003,158,2
21,1,1,1,10,636,2,5013,159,5
4,4,91,1,13,349,4,6025,160,5
1,1,139,1,22,296,4,6032,161,7
2,4,1,1,43,178,1,410,162,1
23,1,1,1,30,669,2,5083,163,1
3,2,15,1,30,332,4,6025,164,6
5,1,1,1,20,375,4,6025,165,3
11,15,1,1,30,466,2,5035,166,7
23,1,1,1,30,669,2,5083,167,6
28,21,1,1,10,791,2,5001,168,6
28,21,1,1,10,791,2,5001,169,5
23,1,1,1,30,669,2,5083,170,2
7,19,1,1,10,397,2,5069,171,4
28,21,1,1,10,791,2,5001,172,4
7,19,1,1,10,397,2,5069,173,5
22,1,1,1,20,653,3,5026,174,7
22,1,1,1,20,653,3,5026,175,3
23,1,1,1,30,669,2,5083,176,4
22,5,2,1,20,657,3,5010,177,4
8,2,1,1,20,424,2,5003,178,7
4,2,77,1,20,346,3,5003,179,2
10,23,1,1,20,445,2,5001,180,6
12,35,1,1,10,487,1,5014,181,7
24,20,1,1,20,689,2,5010,182,6
24,20,1,1,20,689,2,5010,183,4
21,1,1,1,10,636,2,5013,184,2
3,2,15,1,30,332,4,6025,185,1
22,5,2,1,20,657,3,5010,186,6
4,2,77,1,20,346,3,5003,187,1
27,1,1,1,20,763,3,5032,188,7
28,3,122,1,42,92,1,603,189,2
5,1,1,1,20,375,4,6025,190,5
18,3,1,1,20,596,3,5031,191,1
18,17,1,1,22,204,1,381,192,4
19,9,1,1,30,601,2,5001,193,5
